company	title	city	language	visa_hint	url	source	posted_if_known
AMBOSS	Senior Frontend Engineer	Berlin / Remote-DE	EN	unknown	https://jobs.ashbyhq.com/amboss/e5fe2279-ae9d-45c1-a920-e2d0ff44221f	Ashby	
Almedia	Frontend Engineer (senior IC, 7+ yrs)	Berlin (onsite)	EN	unknown	https://jobs.ashbyhq.com/almedia/d4632994-1148-45c0-b7af-25a3e9751dc6	Ashby	
Wemolo	Senior Frontend Software Engineer (all genders)	Germany (Wemolo; typically Munich/hybrid)	EN	unknown	https://jobs.ashbyhq.com/wemolo/18816dfc-a29c-4109-b8b5-9b25fa7bc351	Ashby	
Cosuno	Senior Full Stack Developer (TypeScript)	Berlin / Remote	EN	unknown	https://jobs.ashbyhq.com/cosuno/424ba681-0989-4961-82ad-10286e4aae71	Ashby	
Peec AI	Senior Frontend Engineer	Berlin (onsite)	EN	unknown	https://jobs.ashbyhq.com/peec/6b91aeeb-f051-4f48-8d16-44d3f0a6f186	Ashby	
Statista	Senior Full-Stack Engineer - Data Intelligence Applications (m/f/d)	Hamburg or Berlin	EN	unknown	https://jobs.ashbyhq.com/statista/80127fbb-c7ed-4a9e-8be6-3f6803d27314	Ashby	
Hawk	Senior Full Stack Engineer (Agentic AI)	Munich / Berlin (hybrid)	EN	unknown	https://jobs.ashbyhq.com/hawk/b850bd68-1ac9-44fa-af93-45e5fc85bafa	Ashby	
Clera	Senior Full Stack Engineer	Munich (hybrid)	EN	unknown	https://jobs.ashbyhq.com/clera/48d5c5a2-6af2-4c8a-9880-9c17ac720195	Ashby	
Clera	Full Stack Engineer	Munich (hybrid)	EN	unknown	https://jobs.ashbyhq.com/clera/2066e4d1-9df2-42fb-ad27-cfc5fd8ffcca	Ashby	
Atira	Frontend / UX Engineer	Munich (onsite)	EN	unknown	https://jobs.ashbyhq.com/atira/7749597d-4754-42b9-bf6a-2edc5df6a497	Ashby	
Zenjob	Senior Full-Stack Engineer (f/m/d)	Berlin (hybrid)	EN	unknown	https://jobs.ashbyhq.com/zenjob/48c81898-91f8-449e-bc7f-659ce3b02c98	Ashby	
NetBird	Software Engineer (Frontend)	Berlin / Remote (hybrid)	EN	unknown	https://jobs.ashbyhq.com/netbird/e21bee56-f91c-49c4-b2af-80a162491223	Ashby	
n8n	Senior Product Engineer (TS/NodeJS/Vue)	Berlin / Germany / EU remote	EN	yes	https://jobs.ashbyhq.com/n8n/896c58a8-0388-4037-b265-82b15633a568	Ashby	
n8n	Sr Growth Engineer (Fullstack TS/Vue/NodeJS)	Berlin / Germany / EU remote	EN	yes	https://jobs.ashbyhq.com/n8n/6a370ff8-e069-48ed-bffa-5716a3dbd9d5	Ashby	
n8n	Staff Core Platform Engineer	Berlin / Germany / EU remote	EN	yes	https://jobs.ashbyhq.com/n8n/ea8efc33-c7b8-4b88-826c-3dca17c3aa47	Ashby	
Langfuse	Senior Product Engineer	Berlin (1 week/month) / EU	EN	unknown	https://jobs.ashbyhq.com/langfuse/a2c4e24c-21d1-4a9f-8d46-422d0592efd6	Ashby	
Jimdo	Senior AI Engineer (fullstack Node/TS/React)	Germany (also IT/PT/ES)	EN	unknown	https://jobs.ashbyhq.com/jimdo.com/7059268a-22f2-4a68-9bd8-e376c67a3b7b	Ashby	
Skalar	Senior Full-Stack Engineer (w/m/d)	Munich (onsite)	EN	unknown	https://jobs.ashbyhq.com/skalar/73e1bf79-a3b4-4973-9d0a-da07ddb4d8af	Ashby	
Kuro Technology	Fullstack Software Engineer	Berlin (onsite)	EN	unknown	https://jobs.ashbyhq.com/kuro/446f292f-534d-425f-9bfa-e12f71271444	Ashby	
Flinn	Senior Fullstack Engineer (w/m/d)	Berlin / Vienna (hybrid)	EN	unknown	https://jobs.ashbyhq.com/flinn/9ac79761-3588-40b8-b96c-f76e03bd98a6	Ashby	
8returns	Senior Frontend Engineer (TypeScript)	Berlin (hybrid)	EN	unknown	https://jobs.ashbyhq.com/8returns/d5615754-6350-4d70-b04f-79fc59ae086d	Ashby	
ResearchGate	Senior Frontend Engineer - React	Germany	EN	unknown	https://jobs.lever.co/researchgate/a58316f8-dc9b-4c2e-8d2a-49e87f8e3526	Lever	
Zalando	Senior Frontend Engineer - ZEOS (all genders)	Berlin (hybrid)	EN	yes	https://jobs.zalando.com/en/jobs/2724266	Zalando careers	
SumUp	Senior Frontend Engineer – Sell Online	Cologne	EN	unknown	https://www.sumup.com/careers/positions/cologne-germany/engineering/senior-frontend-engineer-sell-online/8634748002/	SumUp careers	posted ~12 Aug 2026
ABOUT YOU	(Senior) Frontend Engineer - Webstack (all genders)	Hamburg / Berlin	DE	unknown	https://jobs.smartrecruiters.com/ABOUTYOUGmbH/744000141933139--senior-frontend-engineer-webstack-all-genders-	SmartRecruiters	
TextCortex AI	Senior Frontend Engineer (React, TypeScript)	Berlin (onsite; reloc. support)	EN	yes	https://join.com/companies/textcortex/16331142-senior-frontend-engineer-at-textcortex-ai	JOIN	posted ~16 Jul 2026
BirdRave	Senior Frontend Engineer (f/m/d)	Berlin (hybrid)	EN	unknown	https://join.com/companies/birdravecom/16578265-senior-frontend-engineer-f-m-d	JOIN	posted 28 Apr 2026
mika	Senior Full Stack Developer React/FastAPI/Django (Frontend-Affinity) (m/f/d)	Berlin (hybrid/remote OK)	EN	unknown	https://join.com/companies/getmikade/16275718-senior-full-stack-developer-react-fastapi-django-frontend-affinity-m-f-d	JOIN	
1KOMMA5°	(Senior) Product Engineer (m/f/d)	Hamburg / Berlin / Munich (remote-DE)	EN	unknown	https://join.com/companies/1komma5grad/16568737-senior-product-engineer-m-f-d	JOIN	posted 13 May 2026
Overfly	Senior Full Stack & AI Engineer (m/w/d)	Berlin (hybrid)	EN	unknown	https://join.com/companies/overf/16193840-senior-full-stack-and-ai-engineer-m-w-d	JOIN	posted 09 Apr 2026
JOIN	Senior Frontend Engineer - ReactJS (m/f/d)	Berlin (hybrid)	EN	yes	https://join.com/companies/join/16077272-senior-frontend-engineer-reactjs-m-f-d	JOIN	page still 200; listing dates older — recheck
smava	Senior Full Stack Engineer (f/m/d) - Node, Typescript & React	Berlin	EN	unknown	https://job-boards.greenhouse.io/smavagmbh/jobs/7698134003	Greenhouse	
smava	Senior Full Stack Engineer - Credit Card (f/m/d) - Node.js, React & Typescript	Berlin	EN	unknown	https://job-boards.greenhouse.io/smavagmbh/jobs/7786570003	Greenhouse	
smava	Senior Full Stack Engineer (f/m/d) - Node.js & Typescript	Berlin	EN	unknown	https://job-boards.greenhouse.io/smavagmbh/jobs/7675767003	Greenhouse	
Personio	Senior Frontend Engineer (Money / compensation)	Germany (WTTJ listing)	EN	unknown	https://app.welcometothejungle.com/jobs/oveLmjAX	Welcome to the Jungle	
Almedia	AI Full Stack Engineer	Berlin (onsite)	EN	unknown	https://jobs.ashbyhq.com/almedia/ec5e84ff-da11-4d21-96cd-ff73e9577d3c	Ashby	
Cosuno	Principal Full Stack Developer (TypeScript)	Berlin / Remote	EN	unknown	https://jobs.ashbyhq.com/cosuno/d5215953-7527-433e-8627-efd3107f1061	Ashby	
Peec AI	Senior Fullstack Engineer	Berlin (onsite)	EN	unknown	https://jobs.ashbyhq.com/peec/4c12e247-74c3-47e2-b15c-f7686bf3b887	Ashby	
Peec AI	Senior Product Engineer	Berlin (onsite)	EN	unknown	https://jobs.ashbyhq.com/peec/02f4e485-a502-4eb9-b08d-7d42a22b5844	Ashby	
Statista	Fullstack Engineer (m/f/d)	Hamburg or Berlin	EN	unknown	https://jobs.ashbyhq.com/statista/7fbe6c87-3928-4159-bd90-4c2da59d28bd	Ashby	
Zenjob	Full-Stack Engineer (f/m/d)	Berlin (hybrid)	EN	unknown	https://jobs.ashbyhq.com/zenjob/cb4a5fc7-ee05-41f0-b07a-0d91403c3d8e	Ashby	
Jimdo	Expert Engineer - Full-Stack	Germany	EN	unknown	https://jobs.ashbyhq.com/jimdo.com/c5bdc778-cb76-47ab-8079-fc7996e63bf5	Ashby	
Skalar	Product Engineer (w/m/d)	Munich (onsite)	EN	unknown	https://jobs.ashbyhq.com/skalar/405dfe48-69e4-45b8-afcd-35c64b7a96f7	Ashby	
voize	Senior Fullstack Engineer (m/f/d)	Berlin	EN	unknown	https://jobs.ashbyhq.com/voize/fdf34416-644d-493a-8d09-fbcfed58419d	Ashby	
Doctolib	Senior Software Engineer FullStack Kotlin / React - Berlin (f/m/d)	Berlin	EN	unknown	https://jobs.ashbyhq.com/doctolib/b74850a3-cf80-4583-b00a-69bd9344978e	Ashby	
Doctolib	Fullstack Software Engineer - React, Kotlin & Ruby on Rails (x/f/m)	Berlin	EN	unknown	https://jobs.ashbyhq.com/doctolib/f90590ae-1543-4c23-816c-230176e86eb6	Ashby	
